time,frequency,confidence
10.470,1051.436,0.036549
10.480,432.856,0.071632
10.490,646.615,0.136427
10.500,216.041,0.166532
10.510,199.087,0.098616
10.520,436.659,0.126276
10.530,437.427,0.354699
10.540,441.004,0.094451
10.550,878.346,0.030599
10.560,872.708,0.043939
10.570,32.070,0.033880
10.580,435.212,0.286309
10.590,435.581,0.207588
10.600,218.932,0.129245
10.610,38.073,0.108638
10.620,879.818,0.078687
10.630,881.048,0.237774
10.640,194.185,0.146020
10.650,193.123,0.191051
10.660,186.175,0.161349
10.670,257.178,0.151642
10.680,256.686,0.061690
10.690,257.287,0.088152
10.700,219.240,0.095094
